sample	tissue	nucl	subject	pool_id	rpm	rpm_ratio
M135_GON_RNA	LU	RNA	M135	8		
M135_GON_RNA	LU	RNA	M135	9		
M135_GON_RNA	LU	RNA	M135	10		
M135_GON_RNA	LU	RNA	M135	11		
M135_GON_RNA	LU	RNA	M135	12		
M135_GON_RNA	LU	RNA	M135	13		
M135_GON_RNA	LU	RNA	M135	14		
M135_GON_RNA	LU	RNA	M135	15		
M135_GON_RNA	LU	RNA	M135	16		
M135_GON_RNA	LU	RNA	M135	18		
M135_GON_RNA	LU	RNA	M148	1		
M135_GON_RNA	LU	RNA	M148	2		
M135_GON_RNA	LU	RNA	M148	3		
M135_GON_RNA	LU	RNA	M148	4		
M135_GON_RNA	LU	RNA	M148	5		
M135_GON_RNA	LU	RNA	M148	6		
M135_GON_RNA	LU	RNA	M148	7		
M135_GON_RNA	LU	RNA	M148	8		
M135_GON_RNA	LU	RNA	M148	9		
M135_GON_RNA	LU	RNA	M148	10		
M135_GON_RNA	LU	RNA	M148	11		
M135_GON_RNA	LU	RNA	M148	12		
M135_GON_RNA	LU	RNA	M148	13		
M135_GON_RNA	LU	RNA	M148	14		
M135_GON_RNA	LU	RNA	M148	15		
M135_GON_RNA	LU	RNA	M148	16		
M135_GON_RNA	LU	RNA	M148	18		
M135_GON_RNA	LU	RNA	M355	1		
M135_GON_RNA	LU	RNA	M355	2		
M135_GON_RNA	LU	RNA	M355	3		
M135_GON_RNA	LU	RNA	M355	4		
M135_GON_RNA	LU	RNA	M355	5		
M135_GON_RNA	LU	RNA	M355	6		
M135_GON_RNA	LU	RNA	M355	7		
M135_GON_RNA	LU	RNA	M355	8		
M135_GON_RNA	LU	RNA	M355	9		
M135_GON_RNA	LU	RNA	M355	10		
M135_GON_RNA	LU	RNA	M355	11		
M135_GON_RNA	LU	RNA	M355	12		
M135_GON_RNA	LU	RNA	M355	13		
M135_GON_RNA	LU	RNA	M355	14		
M135_GON_RNA	LU	RNA	M355	15		
M135_GON_RNA	LU	RNA	M355	16		
M135_GON_RNA	LU	RNA	M355	18		
M135_GON_RNA	RET	RNA	M135	1		
M135_GON_RNA	RET	RNA	M135	2		
M135_GON_RNA	RET	RNA	M135	3		
M135_GON_RNA	RET	RNA	M135	4		
M135_GON_RNA	RET	RNA	M135	5		
M135_GON_RNA	RET	RNA	M135	6		
M135_GON_RNA	RET	RNA	M135	7		
M135_GON_RNA	RET	RNA	M135	8		
M135_GON_RNA	RET	RNA	M135	9		
M135_GON_RNA	RET	RNA	M135	10		
M135_GON_RNA	RET	RNA	M135	11		
M135_GON_RNA	RET	RNA	M135	12		
M135_GON_RNA	RET	RNA	M135	13		
M135_GON_RNA	RET	RNA	M135	14		
M135_GON_RNA	RET	RNA	M135	15		
M135_GON_RNA	RET	RNA	M135	16		
M135_GON_RNA	RET	RNA	M135	18		
M135_GON_RNA	RET	RNA	M148	1		
M135_GON_RNA	RET	RNA	M148	2		
M135_GON_RNA	RET	RNA	M148	3		
M135_GON_RNA	RET	RNA	M148	4		
M135_GON_RNA	RET	RNA	M148	5		
M135_GON_RNA	RET	RNA	M148	6		
M135_GON_RNA	RET	RNA	M148	7		
M135_GON_RNA	RET	RNA	M148	8		
M135_GON_RNA	RET	RNA	M148	9		
M135_GON_RNA	RET	RNA	M148	10		
M135_GON_RNA	RET	RNA	M148	11		
M135_GON_RNA	RET	RNA	M148	12		
M135_GON_RNA	RET	RNA	M148	13		
M135_GON_RNA	RET	RNA	M148	14		
M135_GON_RNA	RET	RNA	M148	15		
M135_GON_RNA	RET	RNA	M148	16		
M135_GON_RNA	RET	RNA	M148	18		
M135_GON_RNA	RET	RNA	M355	1		
M135_GON_RNA	RET	RNA	M355	2		
M135_GON_RNA	RET	RNA	M355	3		
M135_GON_RNA	RET	RNA	M355	4		
M135_GON_RNA	RET	RNA	M355	5		
M135_GON_RNA	RET	RNA	M355	6		
